Emp_ID,Name,Department,Age,Experience,Salary,City,Joining_Date
1001,Sara,IT,37,4,81753,Bhopal,2020-03-23
1002,Priya,Sales,42,6,104774,Bangalore,2016-11-20
1003,Ankit,Finance,57,3,31087,Bhopal,2022-03-07
1004,Ali,Sales,35,4,50816,Delhi,2019-02-16
1005,Sara,Sales,55,0,43408,Bhopal,2021-01-21
1006,Vikram,Sales,48,0,20136,Bhopal,2020-07-17
1007,Sneha,Sales,27,14,37413,Bangalore,2019-09-19
1008,Sara,Marketing,52,19,79500,Bangalore,2016-01-18
1009,Ankit,Marketing,31,18,104514,Bhopal,2021-03-06
1010,Ali,HR,30,9,76358,Mumbai,2024-08-04
1011,Priya,IT,29,17,86197,Bangalore,2018-11-13
1012,Ankit,Sales,34,2,112789,Kolkata,2019-05-03
1013,Ankit,HR,33,10,112420,Kolkata,2021-03-21
1014,Sneha,IT,45,14,52854,Delhi,2020-08-12
1015,John,Finance,22,10,96240,Bhopal,2016-01-07
1016,Ali,Marketing,55,16,110063,Mumbai,2019-09-07
1017,Rahul,IT,27,16,36322,Delhi,2019-01-09
1018,Ankit,Finance,41,5,26968,Bhopal,2016-09-02
1019,John,IT,38,4,47518,Bangalore,2015-04-26
1020,Rahul,Marketing,23,7,71925,Kolkata,2024-02-24
1021,Ali,Marketing,59,1,79848,Mumbai,2016-03-22
1022,Amit,HR,31,15,113422,Kolkata,2018-10-23
1023,Vikram,Sales,59,19,21700,Bangalore,2024-02-07
1024,John,IT,44,11,113782,Bhopal,2018-09-02
1025,Neha,IT,39,5,43199,Bangalore,2016-02-19
1026,Amit,Finance,24,0,64589,Bangalore,2023-09-02
1027,Vikram,Marketing,46,3,52115,Kolkata,2019-12-14
1028,Sneha,IT,58,16,81934,Mumbai,2023-01-18
1029,Sara,Marketing,52,12,74316,Bangalore,2017-11-13
1030,Priya,IT,59,17,25520,Kolkata,2022-06-03
1031,Neha,HR,56,4,56455,Mumbai,2020-02-17
1032,Sneha,Sales,57,2,106465,Bhopal,2017-12-09
1033,Ali,IT,53,10,61605,Bhopal,2024-10-13
1034,Sneha,Marketing,56,12,34955,Delhi,2016-12-18
1035,Sara,HR,23,3,64049,Kolkata,2024-10-09
1036,Ali,IT,29,13,33917,Mumbai,2018-09-20
1037,Neha,Finance,28,10,90293,Bangalore,2023-08-17
1038,Sara,Sales,53,9,98581,Bhopal,2019-05-25
1039,Rahul,IT,26,18,84925,Mumbai,2023-06-26
1040,Priya,HR,59,17,90269,Kolkata,2021-05-07
1041,Neha,Finance,24,5,50954,Delhi,2016-07-15
1042,Rahul,HR,33,14,116671,Bhopal,2022-10-22
